bus_code,koridor,gpsdatetime,latitude,longitude,color,gpsheading,gpsspeed,is_new
TJ0516,4B,21/9/2023 19:15:07,-6.353562999999999,106.83229000000011,,186,24.7,0
TJ0516,4B,21/9/2023 19:15:10,-6.353744999999996,106.83226500000043,,189,21.7,0
TJ0516,4B,21/9/2023 19:15:12,-6.353854999999996,106.83225200000044,,189,19.8,0
TJ0516,4B,21/9/2023 19:15:15,-6.3540350000000005,106.83223699999988,,187,21.0,0
TJ0516,4B,21/9/2023 19:15:17,-6.354153000000005,106.83222999999956,,184,21.0,0
TJ0516,4B,21/9/2023 19:15:20,-6.354320000000005,106.83223299999956,,175,20.9,0
TJ0516,4B,21/9/2023 19:15:22,-6.354437999999997,106.83226800000024,,163,21.9,0
TJ0516,4B,21/9/2023 19:15:25,-6.3546,106.832362,,146,24.1,0
TJ0516,4B,21/9/2023 19:15:27,-6.3546830000000005,106.832463,,128,24.3,0
TJ0516,4B,21/9/2023 19:15:31,-6.354855000000005,106.83268999999954,,121,25.5,1
TJ0516,4B,21/9/2023 19:15:32,-6.354893000000002,106.83274699999976,,120,25.1,1
TJ0516,4B,21/9/2023 19:15:37,-6.355055000000002,106.8330129999999,,115,23.1,1
TJ0519,4B,21/9/2023 19:14:47,-6.352457999999996,106.83242200000043,,189,9.0,0
TJ0519,4B,21/9/2023 19:14:50,-6.352534999999998,106.83238800000022,,208,8.6,0
TJ0519,4B,21/9/2023 19:14:52,-6.352625000000003,106.83237299999966,,197,14.9,0
TJ0519,4B,21/9/2023 19:14:55,-6.352792000000003,106.8323519999998,,192,19.4,0
TJ0519,4B,21/9/2023 19:14:57,-6.352905000000001,106.83234299999988,,187,19.9,0
TJ0519,4B,21/9/2023 19:15:00,-6.353087000000004,106.83233299999957,,184,21.0,0
TJ0519,4B,21/9/2023 19:15:02,-6.353209999999999,106.83232300000012,,186,22.2,0
TJ0519,4B,21/9/2023 19:15:05,-6.353423000000001,106.83230299999988,,187,24.6,0
TJ0519,4B,21/9/2023 19:15:07,-6.353562999999999,106.83229000000011,,186,24.7,0
TJ0519,4B,21/9/2023 19:15:10,-6.353744999999996,106.83226500000043,,189,21.7,0
TJ0519,4B,21/9/2023 19:15:12,-6.353854999999996,106.83225200000044,,189,19.8,0
TJ0519,4B,21/9/2023 19:15:15,-6.3540350000000005,106.83223699999988,,187,21.0,0
TJ0519,4B,21/9/2023 19:15:17,-6.354153000000005,106.83222999999956,,184,21.0,0
TJ0519,4B,21/9/2023 19:15:20,-6.354320000000005,106.83223299999956,,175,20.9,0
TJ0519,4B,21/9/2023 19:15:22,-6.354437999999997,106.83226800000024,,163,21.9,0
TJ0519,4B,21/9/2023 19:15:25,-6.3546,106.832362,,146,24.1,0
TJ0519,4B,21/9/2023 19:15:27,-6.3546830000000005,106.832463,,128,24.3,0
TJ0519,4B,21/9/2023 19:15:31,-6.354855000000005,106.83268999999954,,121,25.5,1
TJ0519,4B,21/9/2023 19:15:32,-6.354893000000002,106.83274699999976,,120,25.1,1
TJ0519,4B,21/9/2023 19:15:37,-6.355055000000002,106.8330129999999,,115,23.1,1
TJ0521,4B,21/9/2023 19:14:47,-6.352457999999996,106.83242200000043,,189,9.0,0
TJ0521,4B,21/9/2023 19:14:50,-6.352534999999998,106.83238800000022,,208,8.6,0
TJ0521,4B,21/9/2023 19:14:52,-6.352625000000003,106.83237299999966,,197,14.9,0
TJ0521,4B,21/9/2023 19:14:55,-6.352792000000003,106.8323519999998,,192,19.4,0
TJ0521,4B,21/9/2023 19:14:57,-6.352905000000001,106.83234299999988,,187,19.9,0
TJ0521,4B,21/9/2023 19:15:00,-6.353087000000004,106.83233299999957,,184,21.0,0
TJ0521,4B,21/9/2023 19:15:02,-6.353209999999999,106.83232300000012,,186,22.2,0
TJ0521,4B,21/9/2023 19:15:05,-6.353423000000001,106.83230299999988,,187,24.6,0
TJ0521,4B,21/9/2023 19:15:07,-6.353562999999999,106.83229000000011,,186,24.7,0
TJ0521,4B,21/9/2023 19:15:10,-6.353744999999996,106.83226500000043,,189,21.7,0
TJ0521,4B,21/9/2023 19:15:12,-6.353854999999996,106.83225200000044,,189,19.8,0
TJ0521,4B,21/9/2023 19:15:15,-6.3540350000000005,106.83223699999988,,187,21.0,0
TJ0521,4B,21/9/2023 19:15:17,-6.354153000000005,106.83222999999956,,184,21.0,0
TJ0521,4B,21/9/2023 19:15:20,-6.354320000000005,106.83223299999956,,175,20.9,0
TJ0521,4B,21/9/2023 19:15:22,-6.354437999999997,106.83226800000024,,163,21.9,0
TJ0521,4B,21/9/2023 19:15:25,-6.3546,106.832362,,146,24.1,0
TJ0521,4B,21/9/2023 19:15:27,-6.3546830000000005,106.832463,,128,24.3,0
TJ0521,4B,21/9/2023 19:15:31,-6.354855000000005,106.83268999999954,,121,25.5,1
TJ0521,4B,21/9/2023 19:15:32,-6.354893000000002,106.83274699999976,,120,25.1,1
TJ0521,4B,21/9/2023 19:15:37,-6.355055000000002,106.8330129999999,,115,23.1,1
TJ0525,4B,21/9/2023 19:14:47,-6.352457999999996,106.83242200000043,,189,9.0,0
TJ0525,4B,21/9/2023 19:14:50,-6.352534999999998,106.83238800000022,,208,8.6,0
TJ0525,4B,21/9/2023 19:14:52,-6.352625000000003,106.83237299999966,,197,14.9,0
TJ0525,4B,21/9/2023 19:14:55,-6.352792000000003,106.8323519999998,,192,19.4,0
TJ0525,4B,21/9/2023 19:14:57,-6.352905000000001,106.83234299999988,,187,19.9,0
TJ0525,4B,21/9/2023 19:15:00,-6.353087000000004,106.83233299999957,,184,21.0,0
TJ0525,4B,21/9/2023 19:15:02,-6.353209999999999,106.83232300000012,,186,22.2,0
TJ0525,4B,21/9/2023 19:15:05,-6.353423000000001,106.83230299999988,,187,24.6,0
TJ0525,4B,21/9/2023 19:15:07,-6.353562999999999,106.83229000000011,,186,24.7,0
TJ0525,4B,21/9/2023 19:15:10,-6.353744999999996,106.83226500000043,,189,21.7,0
TJ0525,4B,21/9/2023 19:15:12,-6.353854999999996,106.83225200000044,,189,19.8,0
TJ0525,4B,21/9/2023 19:15:15,-6.3540350000000005,106.83223699999988,,187,21.0,0
TJ0525,4B,21/9/2023 19:15:17,-6.354153000000005,106.83222999999956,,184,21.0,0
TJ0525,4B,21/9/2023 19:15:20,-6.354320000000005,106.83223299999956,,175,20.9,0
TJ0525,4B,21/9/2023 19:15:22,-6.354437999999997,106.83226800000024,,163,21.9,0
TJ0525,4B,21/9/2023 19:15:25,-6.3546,106.832362,,146,24.1,0
TJ0525,4B,21/9/2023 19:15:27,-6.3546830000000005,106.832463,,128,24.3,0
TJ0525,4B,21/9/2023 19:15:31,-6.354855000000005,106.83268999999954,,121,25.5,1
TJ0525,4B,21/9/2023 19:15:32,-6.354893000000002,106.83274699999976,,120,25.1,1
TJ0525,4B,21/9/2023 19:15:37,-6.355055000000002,106.8330129999999,,115,23.1,1
TJ0530,4B,21/9/2023 19:14:47,-6.352457999999996,106.83242200000043,,189,9.0,0
TJ0530,4B,21/9/2023 19:14:50,-6.352534999999998,106.83238800000022,,208,8.6,0
TJ0530,4B,21/9/2023 19:14:52,-6.352625000000003,106.83237299999966,,197,14.9,0
TJ0530,4B,21/9/2023 19:14:55,-6.352792000000003,106.8323519999998,,192,19.4,0
TJ0530,4B,21/9/2023 19:14:57,-6.352905000000001,106.83234299999988,,187,19.9,0
TJ0530,4B,21/9/2023 19:15:00,-6.353087000000004,106.83233299999957,,184,21.0,0
TJ0530,4B,21/9/2023 19:15:02,-6.353209999999999,106.83232300000012,,186,22.2,0
